"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4a1","s11aq4b1","s11aq4b1_os","s11aq5c","s11aq6a","s11aq6b"
2,2,216,2,200,20034,1,2,5,,2,1,,,1,
2,2,216,2,200,20034,2,1,6,8728,1,,,200342,1,
2,2,216,2,200,20035,1,2,5,,2,5,"FLOOD",,1,
2,2,216,2,200,20035,2,1,5,,2,5,"FLOOD",,1,
2,2,216,2,200,20036,1,150,2,,2,1,,,1,
2,2,216,2,200,20036,2,200,2,3212.33,1,,,200362,1,
2,2,216,2,200,20037,1,4.3,6,6961,1,,,200371,2,11
2,2,216,2,200,20038,1,1.5,6,2158,1,,,200381,1,5
2,2,216,2,200,20038,2,1.5,6,4219,1,,,200382,4,6
2,2,216,2,200,20040,1,3,5,10363,1,,,200401,1,2
2,2,216,2,200,20040,2,2,5,,2,5,"FLOOD",,1,2
2,2,203,2,1224,20041,1,5,5,,2,1,,,1,2
2,2,203,2,1224,20041,2,2,5,,2,1,,,1,2
2,2,203,2,1224,20041,3,1.5,5,2257.9,1,,,200413,1,2
2,2,203,2,1224,20042,1,2,5,4986.1,1,,,200421,1,
2,2,203,2,1224,20042,2,2,5,4721.9,1,,,200422,2,
2,2,203,2,1224,20042,3,1,5,2258.5,1,,,200423,3,
2,2,203,2,1224,20043,1,2,6,3849,1,,,200431,1,2
2,2,203,2,1224,20043,2,4,6,8779.2,1,,,200432,1,2
2,2,203,2,1224,20043,3,3.5,6,4992.5,1,,,200433,1,2
2,2,203,2,1224,20044,1,3,6,2990.05,1,,,2004401,2,
2,2,203,2,1224,20044,2,3,6,3133,1,,,2004402,6,
2,2,203,2,1224,20044,3,4,6,3439.2,1,,,2004403,6,
2,2,203,2,1224,20044,4,2,6,1894,1,,,2004404,6,
2,2,203,2,1224,20044,5,2,6,2885.2,1,,,2004405,6,
2,2,203,2,1224,20044,6,3,6,1809.3,1,,,2004406,6,
2,2,203,2,1224,20045,1,1,5,3263.6,1,,,200451,1,
2,2,203,2,1224,20045,2,2,5,6366.7,1,,,200452,1,
2,2,203,2,1224,20045,3,4,5,16695,1,,,200453,2,
2,2,203,2,1224,20046,1,2.5,5,2972.5,1,,,2004601,1,
2,2,203,2,1224,20046,2,3,5,3120.2,1,,,2004602,1,
2,2,203,2,1224,20046,3,1.5,5,1560.8,1,,,2004603,1,
