"zone","state","lga","sector","ea","hhid","s9q29a","s9q29b","s9q29c","s9q30a","s9q30b","s9q30c"
2,15,1503,2,634,150068,,,,73,92,114
2,15,1503,2,634,150069,,,,71,83,91
2,15,1503,2,634,150070,71,72,73,,,
1,25,2504,1,0,150071,,,,12,83,
2,15,1501,2,0,150072,82,92,71,,,
2,34,3407,1,0,150073,71,72,,,,
2,15,1506,1,148,150075,73,72,71,,,
2,15,1506,1,148,150076,63,71,81,,,
2,15,1506,1,148,150077,92,83,71,,,
2,15,1506,1,148,150078,,,,71,83,91
2,15,1508,2,0,150079,,,,71,72,81
2,15,1506,1,148,150080,,,,71,83,91
4,16,1626,2,1546,160001,62,71,121,,,
4,16,1626,2,1546,160002,71,72,92,,,
4,16,1626,2,1546,160003,72,12,83,,,
4,16,1626,2,1546,160004,83,71,,,,
4,16,1626,2,1546,160005,121,122,,,,
4,16,1626,2,1546,160006,83,12,73,,,
4,16,1626,2,1546,160007,,,,71,72,73
4,16,1626,2,1546,160008,,,,101,,
4,16,1626,2,1546,160009,71,73,12,,,
4,16,1626,2,1546,160010,73,72,63,,,
4,16,1610,2,1006,160011,72,12,74,,,
4,16,1610,2,1006,160012,71,83,,,,
4,16,1610,2,1006,160013,72,83,12,,,
4,16,1624,1,0,160014,72,71,63,,,
5,32,3221,1,0,160016,11,61,73,,,
4,16,1624,1,136,160017,,,,75,74,
4,16,1624,1,136,160018,72,74,12,,,
4,16,1624,1,136,160019,,,,71,74,12
4,16,1622,2,18,160020,,,,72,132,
4,16,1612,2,414,160021,,,,72,73,
4,16,1622,2,18,160022,72,62,,,,
4,16,1622,2,18,160023,,,,71,72,12
4,16,1624,1,136,160024,71,,,,,
4,16,1624,1,136,160025,71,,,,,
4,16,1602,2,1576,160026,,,,72,,
4,16,1608,2,1104,160027,73,131,,,,
4,16,1624,1,0,160028,11,,,,,
4,16,1624,1,286,160029,,,,71,72,73
4,16,1624,1,286,160030,,,,92,83,72
4,16,1622,2,18,160031,,,,62,63,92
4,16,1624,1,136,160032,62,,,,,
4,16,1624,1,136,160033,92,61,,,,
4,16,1622,2,18,160034,,,,61,132,
4,16,1624,1,136,160035,62,,,,,
4,16,1624,1,136,160036,61,62,,,,
4,16,1622,2,18,160037,92,132,,,,
4,16,1606,2,590,160038,63,64,,,,
4,16,1606,2,590,160039,11,,,,,
4,16,1606,2,590,160040,11,132,,,,
4,16,1624,1,136,160041,83,,,,,
4,16,1622,2,18,160042,,,,71,,
4,16,1622,2,18,160043,92,,,,,
4,16,1622,2,18,160044,92,,,,,
4,16,1612,2,414,160045,92,72,,,,
4,16,1612,2,414,160046,92,,,,,
4,16,1602,2,1576,160048,92,,,,,
4,16,1602,2,1576,160049,92,,,,,
4,16,1602,2,1576,160050,92,,,,,
4,16,1613,2,440,160051,71,72,12,,,
4,16,1613,2,440,160052,31,62,72,,,
4,16,1613,2,440,160053,72,12,73,,,
4,16,1613,2,440,160054,61,63,64,,,
4,16,1613,2,440,160055,11,13,72,,,
4,16,1613,2,440,160056,82,83,81,,,
