"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4d","s11aq5c","s11aq6"
2,2,212,2,956,20060,1,2,6,,4063.6,1101,1
2,2,210,2,1300,20061,1,1,6,,3045.9,1301,1
2,2,210,2,1300,20061,2,1,6,,3450.9,1302,1
2,2,210,2,1300,20061,3,1,6,,2329.6,1303,1
2,2,210,2,1300,20061,4,1,6,,1936.4,1304,1
2,2,210,2,1300,20061,5,1,6,,2060,1305,1
2,2,210,2,1300,20061,6,1,2,,2632.5,1306,1
2,2,210,2,1300,20062,1,2,6,,9832.3,2101,1
2,2,210,2,1300,20062,2,1,6,,3410.2,2102,1
2,2,210,2,1300,20062,3,2,6,,10417,2103,1
2,2,210,2,1300,20062,4,1,5,,3431.7,2104,1
2,2,210,2,1300,20063,1,1,6,,2631.6,1801,1
2,2,210,2,1300,20063,2,3,6,,8461.3,1802,1
2,2,210,2,1300,20063,3,2,6,,5261.3,1803,1
2,2,210,2,1300,20063,4,4,6,,10512.3,1804,1
2,2,210,2,1300,20064,1,3,5,,3691.1,,1
2,2,210,2,1300,20064,2,2,5,,2841.3,,1
2,2,210,2,1300,20064,3,2,5,,2992.3,,1
2,2,210,2,1300,20065,1,3,6,,2180.4,2601,1
2,2,210,2,1300,20065,2,4,6,,3219.3,2602,1
2,2,210,2,1300,20065,3,2,6,,1920.5,2603,2
2,2,210,2,1300,20066,1,2,6,,6421.6,3101,1
2,2,210,2,1300,20066,2,1.5,6,,4230,3102,1
2,2,210,2,1300,20066,3,2,5,,4589.8,3103,1
2,2,210,2,1300,20066,4,1,6,,2992.3,3104,1
2,2,210,2,1300,20066,5,2,5,,2521.9,3105,1
2,2,210,2,1300,20067,1,2,6,,3106.6,201,1
2,2,210,2,1300,20067,2,2,6,,2834.2,202,1
2,2,210,2,1300,20067,3,1,6,,2995.4,203,1
2,2,210,2,1300,20068,1,2,6,,3141.3,501,1
2,2,210,2,1300,20068,2,2,6,,2994.1,501,2
2,2,210,2,1300,20069,1,1,5,,3130.1,1501,1
2,2,210,2,1300,20069,2,1,6,,5411.3,1502,1
2,2,210,2,1300,20069,3,2,6,,10832,1503,1
2,2,210,2,1300,20070,1,1,6,,4334.9,2301,1
2,2,210,2,1300,20070,2,1,6,,4461,2302,1
2,2,210,2,1300,20070,3,2,5,,8060.2,2303,1
2,2,210,2,1300,20070,4,1,6,,4209.4,2304,1
2,2,210,2,1300,20070,5,1,6,,3932.5,2305,1
2,2,214,2,898,20072,1,7,6,,6692,6701,1
